full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     C/1881 S1 (Barnard),,,,2408338.3653,1.0,,0.4492,112.816,,,,
     C/1881 W1 (Swift),,,,2408404.7418,0.990169,195.8064286,1.924973,144.8016,389.6878843,,,
     C/1882 F1 (Wells),,,,2408616.5,0.9999928686793312,8520.608669524105,0.0607631927154173,73.79692477335327,17041.15657585549,0.00844853,,0.98846
     C/1882 R1-A (Great September comet),,,,2408709.5,0.999899,76.7326733,0.00775,142.0112,153.4575965,,,
     C/1882 R1-B (Great September comet),,,,2408798.5,0.9999069978685318,83.35973092554065,0.0077526326546937,142.0206977584303,166.7117092184266,0.516376,6.0,10.303
     C/1882 R1-C (Great September comet),,,,2408709.5,0.999915,91.1882353,0.007751,142.0105,182.3687196,,,
     C/1882 R1-D (Great September comet),,,,2408709.5,0.99992,96.8625,0.007749,142.0093,193.717251,,,
     C/1882 R2 (Barnard),,,,2408785.5,1.0,,0.9555670000000066,96.14660000000002,,0.396486,,3.8954
     C/1883 D1 (Brooks-Swift),,,,2408881.5,1.000077396988954,-9819.976357216778,0.7600366016484127,78.06626043567613,,0.110335,,0.97603
     C/1884 A1 (Ross),,,,2409170.2926,1.0,,0.309607,114.977,,,,
     D/1884 O1 (Barnard),,,,2409411.5,0.583594335629989,3.072960608924709,1.279598203942167,5.473222503560487,4.86632301390725,0.28009,7.0,1.0303
     C/1885 N1 (Barnard),,,,2409751.5,1.0,,2.506483148733141,80.6119893689344,,1.49038,,1.2477
     C/1885 R1 (Brooks),,,,2409760.5,0.982264,42.2388926,0.749149,59.097,83.7286363,,,
     C/1885 X1 (Fabry),,,,2409924.5,1.000387113881838,-1659.415920197626,0.642382938451641,82.62977642782661,,0.181171,,1.1138
     C/1885 X2 (Barnard),,,,2409938.5,1.000200158025937,-2394.381815423776,0.4792547375146268,84.44081160481933,,0.331995,,0.88573
     C/1885 Y1 (Brooks),,,,2409920.5,1.000008804227581,-122600.9664829005,1.079406810563923,42.44237071788757,,0.157961,,1.3653
     C/1886 H1 (Brooks),,,,2410034.5,0.9951434029568824,55.49418174319072,0.2695128789642098,87.62919010353608,110.7188506074172,0.68446,7.0,0.96839
