rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
487,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571285,,1.816,0.162,,,,,1.02,,13.0800239,10.7947051,244.59,4.06029
488,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.5713127,0.01314,1.676,0.14952296,7.8,0.02454154,,5578.0,0.99,0.913,13.0800239,10.7947051,244.59,4.06029
489,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571308,,1.46,0.13025248,,,G5,5590.0,0.83,0.93,13.0800239,10.7947051,244.59,4.06029
490,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571331,0.0134,1.82,0.16236952,,,,5617.0,0.98,0.97,13.0800239,10.7947051,244.59,4.06029
491,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571299,,1.66855539,0.14885854,,,,5590.0,0.906429,0.966939,13.0800239,10.7947051,244.59,4.06029
492,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571292,0.0116,1.52,0.13560532,8.36,0.02630337,G5 V,5470.0,0.869,0.945,13.0800239,10.7947051,244.59,4.06029
493,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571,,1.712,0.15273441,7.72,0.02428971,,5496.0,0.981,0.902,13.0800239,10.7947051,244.59,4.06029
494,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571292,0.01326,1.725,0.15389446,8.21,0.02583155,,5532.0,0.988,0.95,13.0800239,10.7947051,244.59,4.06029
495,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571212,,1.6,0.14274268,,,,5613.0,0.95,,13.0800239,10.7947051,244.59,4.06029
496,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571282,,1.87,0.16683051,8.03,0.02526521,,5496.0,0.995,0.91,13.0800239,10.7947051,244.59,4.06029
497,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571336,,1.8,0.16,,,,,0.97,,13.0800239,10.7947051,244.59,4.06029
498,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.334615,,2.2,0.19627119,,,,5613.0,0.95,,13.0800239,10.7947051,244.59,4.06029
